run_id,job_id,skill_count,title,description_excerpt,source,country,detected_skills,evidence,expected_skills,false_positive_skills,reviewer_notes
75,557,17,Senior Software Engineer / DevOps,"Profil recherché : - Senior (7 ans d'expérience) - Développement Python Azure Cloud - DevOps / DevSecOps : CI/CD (GitHub Actions), Docker, Kubernetes / K3s, Helm - Bonne maîtrise de Linux et des architectures micro-services distribuées - Un plus : Edge AI (Machine Learning, Computer Vision, Agentic AI), C/C++/Rust, GPU",adzuna,fr,Agentic AI; Artificial Intelligence; Azure; C; C++; CI/CD; Computer Vision; DevOps; DevSecOps; Docker; GitHub; Helm; Kubernetes; Linux; Machine Learning; Python; Rust,Agentic AI='Agentic AI'@description:292-302 | Artificial Intelligence='AI'@description:253-255 | Azure='Azure'@description:72-77 | C='C'@description:305-306 | C++='C++'@description:307-310 | CI/CD='CI/CD'@description:107-112 | Computer Vision='Computer Vision'@description:275-290 | DevOps='DevOps'@title:27-33 | DevSecOps='DevSecOps'@description:95-104 | Docker='Docker'@description:131-137 | GitHub='GitHub'@description:114-120 | Helm='Helm'@description:157-161 | Kubernetes='Kubernetes'@description:139-149 | Linux='Linux'@description:182-187 | Machine Learning='Machine Learning'@description:257-273 | Python='Python'@description:65-71 | Rust='Rust'@description:311-315,,,
75,708,17,Senior Software Engineer - DevOps H/F,"Profil recherché : - Senior (7 ans d'expérience) - Développement Python Azure Cloud - DevOps / DevSecOps : CI/CD (GitHub Actions), Docker, Kubernetes / K3s, Helm - Bonne maîtrise de Linux et des architectures micro-services distribuées - Un plus : Edge AI (Machine Learning, Computer Vision, Agentic AI), C/C++/Rust, GPU",adzuna,fr,Agentic AI; Artificial Intelligence; Azure; C; C++; CI/CD; Computer Vision; DevOps; DevSecOps; Docker; GitHub; Helm; Kubernetes; Linux; Machine Learning; Python; Rust,Agentic AI='Agentic AI'@description:292-302 | Artificial Intelligence='AI'@description:253-255 | Azure='Azure'@description:72-77 | C='C'@description:305-306 | C++='C++'@description:307-310 | CI/CD='CI/CD'@description:107-112 | Computer Vision='Computer Vision'@description:275-290 | DevOps='DevOps'@title:27-33 | DevSecOps='DevSecOps'@description:95-104 | Docker='Docker'@description:131-137 | GitHub='GitHub'@description:114-120 | Helm='Helm'@description:157-161 | Kubernetes='Kubernetes'@description:139-149 | Linux='Linux'@description:182-187 | Machine Learning='Machine Learning'@description:257-273 | Python='Python'@description:65-71 | Rust='Rust'@description:311-315,,,
75,540,12,Leader Technique IA - Génération IA Java - Python H/F,"En tant que Leader Technique IA / Génération IA, vous serez le référent technique sur des projets à forte valeur ajoutée intégrant des solutions d'Intelligence Artificielle et de Génération IA (GenAI). Vous interviendrez sur des architectures modernes et des stacks technlogiques variées : * Java (Spring Boot, Quarkus) ",adzuna,fr,Artificial Intelligence; Backend Development; Generative AI; Hugging Face Transformers; Java; Large Language Models; Machine Learning; Python; PyTorch; Quarkus; Spring; TensorFlow,Artificial Intelligence='IA'@title:17-19 | Backend Development='backend'@description:338-345 | Generative AI='GenAI'@description:194-199 | Hugging Face Transformers='Hugging Face'@description:377-389 | Java='Java'@title:36-40 | Large Language Models='Large Language Models'@description:449-470 | Machine Learning='ML'@description:424-426 | Python='Python'@title:43-49 | PyTorch='PyTorch'@description:356-363 | Quarkus='Quarkus'@description:311-318 | Spring='Spring'@description:298-304 | TensorFlow='TensorFlow'@description:365-375,,,
75,794,12,Leader Technique IA / Génération IA (Java / Python) F/H,"En tant que Leader Technique IA / Génération IA, vous serez le référent technique sur des projets à forte valeur ajoutée intégrant des solutions d'Intelligence Artificielle et de Génération IA (GenAI). Vous interviendrez sur des architectures modernes et des stacks technlogiques variées : Java (Spring Boot, Quarkus) po",adzuna,fr,Artificial Intelligence; Backend Development; Generative AI; Hugging Face Transformers; Java; Large Language Models; Machine Learning; Python; PyTorch; Quarkus; Spring; TensorFlow,Artificial Intelligence='IA'@title:17-19 | Backend Development='backend'@description:336-343 | Generative AI='GenAI'@description:194-199 | Hugging Face Transformers='Hugging Face'@description:373-385 | Java='Java'@title:37-41 | Large Language Models='Large Language Models'@description:443-464 | Machine Learning='ML'@description:420-422 | Python='Python'@title:44-50 | PyTorch='PyTorch'@description:352-359 | Quarkus='Quarkus'@description:309-316 | Spring='Spring'@description:296-302 | TensorFlow='TensorFlow'@description:361-371,,,
75,1112,12,AI Engineer F/H,"Concevoir et développer des agents IA (LangGraph, Pydantic AI) et des systèmes RAG hybrides (Graph-RAG, RAPTOR, FAISS/BM25) pour l'analyse automatisée de données et d'incidents. • Industrialiser des solutions full-stack (FastAPI, React, Docker, OAuth2) intégrant des briques d'IA générative, avec déploiement sur cluster",adzuna,fr,Agentic AI; Artificial Intelligence; AWS; Docker; ETL; FastAPI; Full Stack Development; Generative AI; Kubernetes; OpenShift; React; Retrieval-Augmented Generation,Agentic AI='agents IA'@description:28-37 | Artificial Intelligence='AI'@title:0-2 | AWS='AWS'@description:328-331 | Docker='Docker'@description:237-243 | ETL='ETL'@description:427-430 | FastAPI='FastAPI'@description:221-228 | Full Stack Development='full-stack'@description:209-219 | Generative AI='IA générative'@description:277-290 | Kubernetes='Kubernetes'@description:333-343 | OpenShift='Openshift'@description:344-353 | React='React'@description:230-235 | Retrieval-Augmented Generation='RAG'@description:79-82,,,
75,404,11,"Data Scientist BI / Data Engineer expérimenté Nantes Python, PySpark, SQL, Power BI, DAX/ben (IT)","Data Scientist BI / Data Engineer expérimenté Nantes Python, PySpark, SQL, Power BI, DAX, API, Git, Azure, Azure Data Factory, Databricks, DataGalaxy, Jira, Confluence 3 ans Nantes Python, PySpark, SQL, Power BI, DAX, API, Git, Azure, Azure Data Factory, Databricks, DataGalaxy, Jira, Confluence Mission de Data Scientis",adzuna,fr,Apache Spark; Azure; Business Intelligence; Confluence; Data Engineering; Databricks; Git; Jira; Power BI; Python; SQL,Apache Spark='PySpark'@title:61-68 | Azure='Azure'@description:100-105 | Business Intelligence='BI'@title:15-17 | Confluence='Confluence'@description:157-167 | Data Engineering='data engineering'@description:334-350 | Databricks='Databricks'@description:127-137 | Git='Git'@description:95-98 | Jira='Jira'@description:151-155 | Power BI='Power BI'@title:75-83 | Python='Python'@title:53-59 | SQL='SQL'@title:70-73,,,
75,544,10,Ingénieur Data - IA H/F,"- Concevoir, développer et industrialiser des pipelines de données robustes (ETL/ELT) - Participer à la mise en place de modèles d'intelligence artificielle (Machine Learning, Deep Learning, NLP) - Collaborer avec les Data Scientists, les équipes produit et métier pour comprendre les besoins et proposer des solutions a",adzuna,fr,Artificial Intelligence; AWS; Azure; Data Engineering; Deep Learning; ELT; ETL; GCP; Machine Learning; Natural Language Processing,Artificial Intelligence='IA'@title:17-19 | AWS='AWS'@description:437-440 | Azure='Azure'@description:442-447 | Data Engineering='Ingénieur Data'@title:0-14 | Deep Learning='Deep Learning'@description:176-189 | ELT='ELT'@description:81-84 | ETL='ETL'@description:77-80 | GCP='GCP'@description:449-452 | Machine Learning='Machine Learning'@description:158-174 | Natural Language Processing='NLP'@description:191-194,,,
75,408,9,"Data Scientist Expert Python Versailles Pandas, NumPy, Scikit-learn, TensorFlow ou PyTorch/sa (IT)","Data Scientist Expert Python Versailles Pandas, NumPy, Scikit-learn, TensorFlow ou PyTorch, Matplotlib, et Seaborn, machine learning, Pour un client sur Versailles à raison de 3 jours de présence sur site par semaine, nous recherchons un Data Scientist Expert habilitable. Connaissance et expérience en programmation en ",adzuna,fr,Machine Learning; Matplotlib; NumPy; Pandas; Python; PyTorch; Scikit-learn; Seaborn; TensorFlow,Machine Learning='machine learning'@description:116-132 | Matplotlib='Matplotlib'@description:92-102 | NumPy='NumPy'@title:48-53 | Pandas='Pandas'@title:40-46 | Python='Python'@title:22-28 | PyTorch='PyTorch'@title:83-90 | Scikit-learn='Scikit-learn'@title:55-67 | Seaborn='Seaborn'@description:107-114 | TensorFlow='TensorFlow'@title:69-79,,,
75,1113,9,AI Engineer H/F,"agents. - Intégrer ces solutions d'IA dans les systèmes de nos clients. - Construire des plateformes IA permettant aux équipes Data Science de nos clients d'expérimenter, entraîner et déployer leurs modèles. - Industrialiser et opérer les systèmes IA en production : pipelines MLOps/LLMOps (CI/CD, IaC, versioning modèle",adzuna,fr,Artificial Intelligence; AWS; Azure; CI/CD; Data Science; GCP; MLOps; Observability; Scaleway,Artificial Intelligence='AI'@title:0-2 | AWS='AWS'@description:354-357 | Azure='Azure'@description:359-364 | CI/CD='CI/CD'@description:291-296 | Data Science='Data Science'@description:127-139 | GCP='GCP'@description:366-369 | MLOps='MLOps'@description:277-282 | Observability='observabilité'@description:396-409 | Scaleway='Scaleway'@description:371-379,,,
75,384,8,POT9200 - Un Data Scientist senior et IA/machine Learning sur Lyon (IT),"Almatek recherche pour l'un de ses clients, un Data Scientist senior et IA/machine Learning sur Lyon. Profil recherché : Data Science & Machine Learning ? Maîtrise des techniques de ML supervisé et non supervisé ? Expérience en NLP : embeddings, analyse textuelle, extraction d?entités, classification de texte ? Connais",adzuna,fr,Artificial Intelligence; Data Science; Generative AI; Large Language Models; Machine Learning; Natural Language Processing; Prompt Engineering; Retrieval-Augmented Generation,Artificial Intelligence='IA'@title:38-40 | Data Science='Data Science'@description:121-133 | Generative AI='IA Générative'@description:334-347 | Large Language Models='LLM'@description:328-331 | Machine Learning='machine Learning'@title:41-57 | Natural Language Processing='NLP'@description:228-231 | Prompt Engineering='prompt engineering'@description:411-429 | Retrieval-Augmented Generation='RAG'@description:406-409,,,
